Method,Portfolio,Date,n_firms,raw_weight_sum,capped_weight_sum,max_raw_weight,max_capped_weight,n_names_capped
Method2_PostMean,Q5,2011-03-31,63,0.9999999999999999,0.9999999999999998,0.17358216246109007,0.04999999999999999,7
Method3_ProbQ5,Q1,2011-03-31,61,0.9999999999999999,0.9999999999999999,0.2959409855338572,0.05,6
Method3_ProbQ5,Q2,2011-03-31,62,1.0,1.0,0.1462438469608222,0.05,6
Method3_ProbQ5,Q3,2011-03-31,63,0.9999999999999999,0.9999999999999998,0.29420780070968194,0.04999999999999999,6
Method3_ProbQ5,Q4,2011-03-31,64,0.9999999999999999,0.9999999999999999,0.20286270898214817,0.04999999999999999,4
Method3_ProbQ5,Q5,2011-03-31,62,1.0,1.0000000000000002,0.17582938047449384,0.05000000000000001,7
Method1_Raw,Q1,2011-04-30,63,0.9999999999999999,0.9999999999999999,0.5487055288830142,0.05,3
Method1_Raw,Q2,2011-04-30,62,1.0,1.0000000000000002,0.21164766021464776,0.05000000000000001,5
Method1_Raw,Q3,2011-04-30,63,1.0,0.9999999999999999,0.3097585572824726,0.04999999999999999,4
Method1_Raw,Q4,2011-04-30,62,0.9999999999999998,1.0,0.1413232556077355,0.05,5
Method1_Raw,Q5,2011-04-30,62,1.0000000000000002,0.9999999999999999,0.1816959382193399,0.05,7
Method2_PostMean,Q1,2011-04-30,62,1.0000000000000002,0.9999999999999999,0.5375140427752274,0.05,3
Method2_PostMean,Q2,2011-04-30,63,1.0,0.9999999999999999,0.2168325237177388,0.04999999999999999,5
Method2_PostMean,Q3,2011-04-30,64,0.9999999999999999,1.0,0.3058211066610411,0.05000000000000001,3
Method2_PostMean,Q4,2011-04-30,60,1.0,1.0000000000000002,0.14478776819622738,0.05000000000000001,5
Method2_PostMean,Q5,2011-04-30,63,1.0000000000000002,1.0,0.17972800055369306,0.05000000000000001,7
Method3_ProbQ5,Q1,2011-04-30,61,0.9999999999999999,1.0,0.28869860788298696,0.05,6
Method3_ProbQ5,Q2,2011-04-30,62,0.9999999999999998,1.0,0.1538660450881123,0.05,5
Method3_ProbQ5,Q3,2011-04-30,63,0.9999999999999999,0.9999999999999999,0.2890351998708629,0.05,6
Method3_ProbQ5,Q4,2011-04-30,64,1.0,1.0,0.19644398671005797,0.05,4
