Ticker,FiscalYear,PeriodEndDate,AnnouncementDate,ForecastDate,cfo_forecast,forecast_window_start,forecast_window_end,has_valid_cfo_forecast
ASSAb.ST,2013,2013-12-31,2014-02-07,2014-06-26,6539.55367355321,2014-02-07,2014-06-30,1
ASSAb.ST,2014,2014-12-31,2015-02-05,2015-06-26,7201.12355533466,2015-02-05,2015-06-30,1
ASSAb.ST,2015,2015-12-31,2016-02-08,2016-06-28,8746.09830428249,2016-02-08,2016-06-30,1
ASSAb.ST,2016,2016-12-31,2017-02-02,2017-06-30,9824.48682962717,2017-02-02,2017-06-30,1
ASSAb.ST,2017,2017-12-31,2018-02-06,2018-06-28,9481.86696334509,2018-02-06,2018-06-30,1
ASSAb.ST,2018,2018-12-31,2019-02-05,2019-06-26,10506.2105437494,2019-02-05,2019-06-30,1
ASSAb.ST,2019,2019-12-31,2020-02-06,2020-06-30,12280.969615943,2020-02-06,2020-06-30,1
ASSAb.ST,2020,2020-12-31,2021-02-05,2021-06-23,12903.2609005312,2021-02-05,2021-06-30,1
ASSAb.ST,2021,2021-12-31,2022-02-04,2022-06-27,14612.4616517698,2022-02-04,2022-06-30,1
ASSAb.ST,2022,2022-12-31,2023-02-03,2023-06-21,19099.6282575141,2023-02-03,2023-06-30,1
ASSAb.ST,2023,2023-12-31,2024-02-07,2024-06-25,20980.6103900612,2024-02-07,2024-06-30,1
ASSAb.ST,2024,2024-12-31,2025-02-05,2025-06-30,21195.5539057949,2025-02-05,2025-06-30,1
ATCOa.ST,2013,2013-12-31,2014-01-30,2014-06-24,13159.4785984767,2014-01-30,2014-06-30,1
ATCOa.ST,2014,2014-12-31,2015-01-29,2015-06-30,16198.479087669,2015-01-29,2015-06-30,1
ATCOa.ST,2015,2015-12-31,2016-01-28,2016-06-29,16172.5690217184,2016-01-28,2016-06-30,1
ATCOa.ST,2016,2016-12-31,2017-01-27,2017-06-29,20413.9958202785,2017-01-27,2017-06-30,1
ATCOa.ST,2017,2017-12-31,2018-01-26,2018-06-25,17079.6904086362,2018-01-26,2018-06-30,1
ATCOa.ST,2018,2018-12-31,2019-01-28,2019-06-25,17661.6158134098,2019-01-28,2019-06-30,1
ATCOa.ST,2019,2019-12-31,2020-01-28,2020-06-30,21963.1818171814,2020-01-28,2020-06-30,1
ATCOa.ST,2020,2020-12-31,2021-01-29,2021-06-30,21640.9099296088,2021-01-29,2021-06-30,1
ATCOa.ST,2021,2021-12-31,2022-01-25,2022-06-28,24469.9799579083,2022-01-25,2022-06-30,1
ATCOa.ST,2022,2022-12-31,2023-01-26,2023-06-27,30459.5153302107,2023-01-26,2023-06-30,1
ATCOa.ST,2023,2023-12-31,2024-01-25,2024-06-25,36470.4051342172,2024-01-25,2024-06-30,1
ATCOa.ST,2024,2024-12-31,2025-01-28,2025-06-25,35558.7462222357,2025-01-28,2025-06-30,1
ATEA.OL,2013,2013-12-31,2014-02-05,2014-06-23,839.66667,2014-02-05,2014-06-30,1
ATEA.OL,2014,2014-12-31,2015-02-05,2015-06-22,806.25,2015-02-05,2015-06-30,1
ATEA.OL,2015,2015-12-31,2016-02-04,2016-06-29,863.2,2016-02-04,2016-06-30,1
ATEA.OL,2016,2016-12-31,2017-02-08,2017-06-29,1047.16667,2017-02-08,2017-06-30,1
ATEA.OL,2017,2017-12-31,2018-02-07,2018-06-20,1008.5,2018-02-07,2018-06-30,1
ATEA.OL,2018,2018-12-31,2019-02-07,2019-06-27,1109.18,2019-02-07,2019-06-30,1
ATEA.OL,2019,2019-12-31,2020-02-06,2020-06-30,1126.1,2020-02-06,2020-06-30,1
ATEA.OL,2020,2020-12-31,2021-02-09,2021-05-31,1374.0,2021-02-09,2021-06-30,1
ATEA.OL,2021,2021-12-31,2022-02-08,2022-06-30,1573.0,2022-02-08,2022-06-30,1
ATEA.OL,2022,2022-12-31,2023-02-09,2023-06-21,1933.0,2023-02-09,2023-06-30,1
ATEA.OL,2023,2023-12-31,2024-02-08,2024-06-25,1735.33333,2024-02-08,2024-06-30,1
ATEA.OL,2024,2024-12-31,2025-02-06,2025-06-19,1856.725,2025-02-06,2025-06-30,1
ATRAV.HE,2013,2013-12-31,2014-02-13,2014-06-17,470.137969334128,2014-02-13,2014-06-30,1
ATRAV.HE,2014,2014-12-31,2015-02-12,2015-04-29,500.133771075622,2015-02-12,2015-06-30,1
ATRAV.HE,2015,2015-12-31,2016-02-11,2016-05-27,512.480714206964,2016-02-11,2016-06-30,1
