Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method3_ProbQ5,Q2,2010-07-31,57,0.9999999999999999,1.0,0.25211121983669377,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-07-31,58,1.0,0.9999999999999999,0.24455410890336876,0.10000000000000002,0.4,4,4,False
Method3_ProbQ5,Q4,2010-07-31,59,1.0,1.0,0.1759140676947512,0.1,0.3610556507343867,4,2,False
Method3_ProbQ5,Q5,2010-07-31,63,1.0000000000000002,1.0,0.17230849319593874,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-08-31,63,1.0,1.0,0.4505024628580145,0.1,0.4,4,3,False
Method1_Raw,Q2,2010-08-31,58,1.0,1.0000000000000002,0.40069152434749605,0.1,0.3824601788171099,4,1,False
Method1_Raw,Q3,2010-08-31,57,1.0,1.0,0.19835973516909863,0.1,0.4,4,3,False
Method1_Raw,Q4,2010-08-31,60,1.0,1.0,0.09610571843164456,0.08366704230944436,0.4,5,0,False
Method1_Raw,Q5,2010-08-31,62,1.0000000000000002,1.0,0.17829001035378358,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-08-31,63,1.0000000000000002,1.0,0.444375573123717,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-08-31,57,1.0,1.0,0.3434586902834001,0.10000000000000002,0.4000000000000001,4,2,False
Method2_PostMean,Q3,2010-08-31,58,1.0,0.9999999999999999,0.22108858050810853,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-08-31,59,1.0,0.9999999999999999,0.10568669650050116,0.08366704230944436,0.4,5,1,False
Method2_PostMean,Q5,2010-08-31,63,0.9999999999999999,1.0,0.1751185495660097,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-08-31,63,0.9999999999999999,1.0,0.30300064193456244,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-08-31,57,1.0,1.0,0.2394917189998056,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-08-31,58,1.0,1.0,0.23138144202712616,0.10000000000000002,0.4,4,4,False
Method3_ProbQ5,Q4,2010-08-31,59,1.0,1.0,0.18182458574718532,0.1,0.4000000000000001,5,2,False
Method3_ProbQ5,Q5,2010-08-31,63,1.0,1.0,0.1710827998362381,0.1,0.4,4,3,False
Method1_Raw,Q1,2010-09-30,63,0.9999999999999999,1.0,0.44925365321800753,0.1,0.4,4,3,False
Method1_Raw,Q2,2010-09-30,58,1.0,1.0,0.3837301476654691,0.1,0.38178127243571436,4,2,False
Method1_Raw,Q3,2010-09-30,57,0.9999999999999998,0.9999999999999999,0.20859849002237463,0.1,0.4,4,3,False
Method1_Raw,Q4,2010-09-30,60,1.0,1.0,0.09206015603707673,0.08330373886640592,0.4,5,0,False
Method1_Raw,Q5,2010-09-30,62,1.0,1.0,0.1803250834238131,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-09-30,63,1.0,1.0,0.4435394125666051,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-09-30,57,1.0000000000000002,1.0,0.3300872284841734,0.10000000000000002,0.4000000000000001,4,2,False
Method2_PostMean,Q3,2010-09-30,58,0.9999999999999999,0.9999999999999999,0.23151804912268487,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-09-30,59,1.0,1.0,0.10223550813137684,0.08330373886640592,0.4,5,1,False
Method2_PostMean,Q5,2010-09-30,63,1.0,1.0,0.1768777119497276,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-09-30,63,1.0,1.0,0.3048005122736665,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-09-30,57,1.0,1.0,0.22351521584416384,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-09-30,58,1.0000000000000002,1.0,0.2330390572181363,0.10000000000000002,0.4,4,4,False
Method3_ProbQ5,Q4,2010-09-30,59,1.0,1.0,0.17152311978598583,0.1,0.4000000000000001,5,2,False
Method3_ProbQ5,Q5,2010-09-30,63,0.9999999999999997,1.0,0.17322968085800697,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-10-31,63,1.0000000000000002,1.0000000000000002,0.42521201584793905,0.1,0.4,4,3,False
Method1_Raw,Q2,2010-10-31,58,1.0,1.0,0.36636198612141496,0.1,0.37923453049083167,4,1,False
Method1_Raw,Q3,2010-10-31,57,1.0,1.0,0.20421666543175981,0.1,0.4,4,4,False
Method1_Raw,Q4,2010-10-31,60,1.0,1.0,0.0959009158037033,0.08357262244259181,0.4,5,0,False
Method1_Raw,Q5,2010-10-31,62,0.9999999999999999,1.0,0.16351896036170527,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-10-31,63,1.0000000000000002,1.0,0.41919783620226997,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-10-31,57,1.0,1.0,0.3100352515284124,0.10000000000000002,0.4000000000000001,4,2,False
Method2_PostMean,Q3,2010-10-31,58,1.0,1.0,0.2297463890985327,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-10-31,59,0.9999999999999999,1.0,0.10628677239216544,0.08357262244259181,0.4,5,1,False
Method2_PostMean,Q5,2010-10-31,63,0.9999999999999999,1.0,0.16022791902429892,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-10-31,63,1.0,1.0,0.28776485384526107,0.1,0.4,4,3,False
Method3_ProbQ5,Q2,2010-10-31,57,1.0,1.0,0.21865674571053734,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-10-31,58,0.9999999999999999,1.0,0.2471599440905981,0.10000000000000002,0.4000000000000001,4,4,False
Method3_ProbQ5,Q4,2010-10-31,59,0.9999999999999998,1.0,0.18377631609754327,0.1,0.36393560549363396,4,2,False
Method3_ProbQ5,Q5,2010-10-31,63,0.9999999999999998,1.0,0.15651118491119034,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-11-30,63,1.0,1.0,0.42539395072586755,0.1,0.4,4,3,False
Method1_Raw,Q2,2010-11-30,58,0.9999999999999999,1.0,0.36963881944976984,0.1,0.3749745407147321,4,1,False
Method1_Raw,Q3,2010-11-30,57,1.0,1.0,0.20600942527799126,0.1,0.4,4,3,False
Method1_Raw,Q4,2010-11-30,60,0.9999999999999999,1.0000000000000002,0.09496182258367429,0.08368783889860804,0.4000000000000001,5,0,False
Method1_Raw,Q5,2010-11-30,62,1.0000000000000002,1.0,0.15619369957174184,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-11-30,63,1.0000000000000002,1.0,0.4190373396442965,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-11-30,57,1.0,1.0,0.3159524744071719,0.10000000000000002,0.4000000000000001,4,2,False
Method2_PostMean,Q3,2010-11-30,58,0.9999999999999999,1.0,0.2302764818726945,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-11-30,59,0.9999999999999999,1.0,0.10526814151174675,0.08368783889860804,0.4000000000000001,5,1,False
Method2_PostMean,Q5,2010-11-30,63,1.0000000000000002,1.0,0.15305327285808093,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-11-30,63,0.9999999999999999,1.0,0.2845887874475011,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-11-30,57,1.0,1.0,0.2199599802194561,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-11-30,58,0.9999999999999999,1.0000000000000002,0.23931464542929115,0.1,0.4,4,3,False
Method3_ProbQ5,Q4,2010-11-30,59,0.9999999999999999,1.0,0.18103325717936927,0.1,0.4,5,2,False
Method3_ProbQ5,Q5,2010-11-30,63,1.0000000000000002,0.9999999999999999,0.14938925721199559,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-12-31,63,1.0,1.0,0.41997904127562097,0.1,0.4,4,3,False
Method1_Raw,Q2,2010-12-31,58,1.0,0.9999999999999999,0.37305545741583623,0.1,0.3733417516086372,4,1,False
Method1_Raw,Q3,2010-12-31,57,1.0,1.0,0.19992483890016252,0.1,0.4,4,4,False
Method1_Raw,Q4,2010-12-31,60,1.0,1.0,0.10452864221410454,0.08737200717144727,0.4,5,1,False
Method1_Raw,Q5,2010-12-31,62,1.0000000000000002,1.0,0.1539351929078182,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-12-31,63,0.9999999999999999,1.0,0.4126804693889061,0.1,0.4,4,3,False
Method2_PostMean,Q2,2010-12-31,57,1.0,1.0,0.3098293130778974,0.1,0.4,4,2,False
Method2_PostMean,Q3,2010-12-31,58,0.9999999999999999,1.0,0.22803405599390192,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-12-31,59,1.0,1.0,0.1163774572471675,0.08737200717144727,0.4,5,1,False
Method2_PostMean,Q5,2010-12-31,63,1.0000000000000002,1.0,0.15066654108484015,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-12-31,63,0.9999999999999999,1.0,0.282511896658956,0.1,0.4,4,3,False
Method3_ProbQ5,Q2,2010-12-31,57,0.9999999999999999,1.0,0.22339535402539654,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-12-31,58,1.0,1.0,0.269904577000318,0.1,0.4,4,3,False
Method3_ProbQ5,Q4,2010-12-31,59,0.9999999999999998,1.0,0.18303529341530905,0.1,0.4,5,2,False
Method3_ProbQ5,Q5,2010-12-31,63,1.0,1.0,0.14692743805505504,0.1,0.4,4,4,False
Method1_Raw,Q1,2011-01-31,65,0.9999999999999999,1.0,0.5603523727701494,0.10000000000000002,0.4000000000000001,4,3,False
Method1_Raw,Q2,2011-01-31,62,1.0,1.0,0.31765807626713766,0.1,0.3989927656425303,4,3,False
Method1_Raw,Q3,2011-01-31,59,1.0,1.0,0.346730065914541,0.1,0.37030008168828676,4,2,False
Method1_Raw,Q4,2011-01-31,61,1.0,1.0,0.2110567938392049,0.1,0.3907336393683766,5,2,False
Method1_Raw,Q5,2011-01-31,62,1.0,1.0,0.14402930628519925,0.1,0.4,4,3,False
Method2_PostMean,Q1,2011-01-31,65,1.0,1.0,0.5276543746298618,0.10000000000000002,0.4000000000000001,4,3,False
Method2_PostMean,Q2,2011-01-31,62,1.0000000000000002,1.0,0.3374585752957752,0.1,0.3885403078497156,4,2,False
Method2_PostMean,Q3,2011-01-31,59,1.0000000000000002,1.0,0.3831412205986551,0.1,0.34816216989416526,4,2,False
Method2_PostMean,Q4,2011-01-31,61,1.0,1.0,0.19833176107615513,0.1,0.3482594005881978,4,2,False
Method2_PostMean,Q5,2011-01-31,62,0.9999999999999998,1.0,0.14484765294950028,0.1,0.4,4,3,False
Method3_ProbQ5,Q1,2011-01-31,66,1.0,1.0,0.28893576524470277,0.1,0.4,4,3,False
Method3_ProbQ5,Q2,2011-01-31,57,1.0,1.0,0.4207317834074822,0.1,0.3949162391491049,4,2,False
Method3_ProbQ5,Q3,2011-01-31,62,1.0000000000000002,0.9999999999999999,0.18668347920424408,0.1,0.3825670061962344,4,2,False
Method3_ProbQ5,Q4,2011-01-31,61,1.0,1.0000000000000002,0.23604132399552308,0.1,0.34509393783312486,4,1,False
Method3_ProbQ5,Q5,2011-01-31,63,0.9999999999999998,1.0,0.1474590879418023,0.1,0.4,4,3,False
Method1_Raw,Q1,2011-02-28,65,0.9999999999999999,1.0,0.5719205723377448,0.10000000000000002,0.4000000000000001,4,2,False
Method1_Raw,Q2,2011-02-28,62,0.9999999999999999,1.0,0.29811359382524383,0.1,0.3965724544855028,4,3,False
Method1_Raw,Q3,2011-02-28,59,1.0,1.0,0.3456224481804727,0.1,0.3665885932960422,4,2,False
Method1_Raw,Q4,2011-02-28,62,1.0,1.0,0.2086073251071428,0.1,0.3860823816310768,5,2,False
Method1_Raw,Q5,2011-02-28,62,1.0,1.0,0.14553914214841757,0.1,0.4,4,3,False
Method2_PostMean,Q1,2011-02-28,65,1.0,1.0,0.5325112982084108,0.10000000000000002,0.4,4,3,False
Method2_PostMean,Q2,2011-02-28,62,0.9999999999999997,0.9999999999999999,0.32117369980870814,0.1,0.38888342283010446,4,2,False
Method2_PostMean,Q3,2011-02-28,59,1.0,1.0,0.3845432965781606,0.1,0.34704296817036584,4,2,False
Method2_PostMean,Q4,2011-02-28,61,0.9999999999999999,1.0000000000000002,0.20064447721784906,0.1,0.2795447698434328,3,2,False
Method2_PostMean,Q5,2011-02-28,63,1.0000000000000002,1.0,0.1450312100250251,0.1,0.4,4,3,False
Method3_ProbQ5,Q1,2011-02-28,66,1.0000000000000002,1.0000000000000002,0.29495872320968425,0.1,0.4,4,3,False
Method3_ProbQ5,Q2,2011-02-28,57,1.0,0.9999999999999999,0.42815799714783265,0.1,0.3946730507132604,4,2,False
Method3_ProbQ5,Q3,2011-02-28,62,1.0,1.0,0.19269822302939418,0.1,0.3847371829517643,4,2,False
Method3_ProbQ5,Q4,2011-02-28,61,1.0,0.9999999999999999,0.23623023970265422,0.1,0.3926864537462667,5,1,False
Method3_ProbQ5,Q5,2011-02-28,64,1.0,1.0,0.14796932903836915,0.1,0.4,4,3,False
Method1_Raw,Q1,2011-03-31,65,0.9999999999999999,1.0,0.5714698017328801,0.10000000000000002,0.4000000000000001,4,2,False
Method1_Raw,Q2,2011-03-31,62,1.0,1.0000000000000002,0.31904761410516763,0.1,0.39400297835063136,4,3,False
